Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Intervalltraining mit hoher Intensität – Dauer (ms),Gehen mit Schritttempovorgabe – Dauer (ms)
20:15:00.000+05:30,20:30:00.000+05:30,,15.55468610243201,,,,,,,,,,,,,,,,,,,
20:30:00.000+05:30,20:45:00.000+05:30,,15.55468610243201,,,,,,,,,,,,,,,,,,,
20:45:00.000+05:30,21:00:00.000+05:30,,15.55468610243201,8.498725487440359,,,,,,,,,,14,,,,,,,,
21:00:00.000+05:30,21:15:00.000+05:30,12,34.7424467425375,607.7302980292172,5.0,4,,,,,0.8156871833174988,1.5893739461898804,0.30141347646713257,910,,,,,,345413,,
21:15:00.000+05:30,21:30:00.000+05:30,11,65.55000051373595,472.2497610849007,,,,,,,0.6816391281345705,1.2086665630340576,0.30141347646713257,775,,,,,,900000,,
21:30:00.000+05:30,21:45:00.000+05:30,11,54.66253203505755,358.4658107353557,,,,,,,0.5742908223159507,1.2544479370117188,0.3014134466648102,615,,,,,,704008,,
21:45:00.000+05:30,22:00:00.000+05:30,3,15.554687424549222,71.13358116149902,,,,,,,0.40308413819770106,0.4949174225330353,0.30141347646713257,128,,,,,,,,
22:00:00.000+05:30,22:15:00.000+05:30,1,15.554687424549222,28.15456771850586,,,,,,,0.35312792658805847,0.35312792658805847,0.35312792658805847,89,,,,,,,,
22:15:00.000+05:30,22:30:00.000+05:30,,15.554687424549222,,,,,,,,,,,14,,,,,,,,
22:30:00.000+05:30,22:45:00.000+05:30,,15.554687424549222,,,,,,,,,,,12,,,,,,,,
22:45:00.000+05:30,23:00:00.000+05:30,2,22.268168533898212,166.3717727933508,2.0,2,,,,,1.0450598262518602,1.334169626235962,0.30141347646713257,281,,,,,,,,120854
23:00:00.000+05:30,23:15:00.000+05:30,14,40.843228816505686,649.8929929847613,4.0,4,,,,,0.867528628863806,1.323647141456604,0.3498691916465759,1018,,,,,69862,357752,,97485
23:15:00.000+05:30,23:30:00.000+05:30,9,48.068027737584465,540.1073965639594,3.0,3,,,,,1.0425846297758319,1.5053967237472534,0.3007217347621918,839,,,,,,585295,,
23:30:00.000+05:30,23:45:00.000+05:30,,15.55468730787489,,,,,,,,,,,,,,,,,,,
23:45:00.000+05:30,00:00:00.000+05:30,,15.55468730787489,,,,,,,,,,,16,,,,,,,,
